geocode_address	above_high	above_low	time
17 SUTTON ST, CHELMER, BRISBANE	2.7	-3.6	29/01/2013 9:35:00 AM
17 THALIA CT, CORINDA, BRISBANE	2.4	-6.2	29/01/2013 9:50:00 AM
17 TORWOOD ST, AUCHENFLOWER, BRISBANE	1.4	1	29/01/2013 10:40:00 AM
17 WALTER ST, BULIMBA, BRISBANE	0.2	0	29/01/2013 11:00:00 AM
17 WARREN ST, STLUCIA, BRISBANE	0.2	-2.6	29/01/2013 10:25:00 AM
17 WELSBY ST, NEWFARM, BRISBANE	0.2	-1.5	29/01/2013 11:00:00 AM
170 BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	1.7	-4.7	29/01/2013 11:00:00 AM
170 FAIRFIELD RD, FAIRFIELD, BRISBANE	0.9	-2.1	29/01/2013 10:15:00 AM
170 HARGREAVES AVE, CHELMER, BRISBANE	2.2	-4.7	29/01/2013 9:40:00 AM
170 LEYBOURNE ST, CHELMER, BRISBANE	4.2	-4.2	29/01/2013 9:40:00 AM
170 LINDUM RD, LYTTON, BRISBANE	0.1	-3.2	29/01/2013 11:00:00 AM
171 ABBOTSFORD RD, BOWENHILLS, BRISBANE	1.1	-0.3	29/01/2013 11:00:00 AM
171 B ABBOTSFORD RD, BOWENHILLS, BRISBANE	1.8	0.8	29/01/2013 11:00:00 AM
171 CURTIN AVE, HAMILTON, BRISBANE	0.5	-2.4	29/01/2013 11:00:00 AM
171 KENMORE RD, KENMORE, BRISBANE	4.9	-48.9	29/01/2013 8:45:00 AM
171 LAUREL AVE, CHELMER, BRISBANE	3.7	-13.6	29/01/2013 9:30:00 AM
171 LYTTON RD, EASTBRISBANE, BRISBANE	0.3	-7.1	29/01/2013 11:00:00 AM
1717 IPSWICH RD, ROCKLEA, BRISBANE	0.2	-3.1	29/01/2013 9:50:00 AM
172 FAIRFIELD RD, FAIRFIELD, BRISBANE	1	-1.6	29/01/2013 10:15:00 AM
172 MACQUARIE ST, STLUCIA, BRISBANE	0.7	-3.1	29/01/2013 10:25:00 AM
172 OXLADE DR, NEWFARM, BRISBANE	0.1	-3.2	29/01/2013 11:00:00 AM
173 A MARINE DR, PINKENBA, BRISBANE	2.1	1.2	29/01/2013 11:00:00 AM
174 A GEM RD, KENMORE, BRISBANE	5	-3.4	29/01/2013 8:45:00 AM
174 FAIRFIELD RD, FAIRFIELD, BRISBANE	1.1	-1.2	29/01/2013 10:15:00 AM
174 HARGREAVES AVE, CHELMER, BRISBANE	3	-5.1	29/01/2013 9:40:00 AM
174 LEYBOURNE ST, CHELMER, BRISBANE	3.9	-4.8	29/01/2013 9:40:00 AM
175  MERTHYR RD, NEWFARM, BRISBANE	0.2	-2.2	29/01/2013 11:00:00 AM
175 A BOWEN TCE, FORTITUDEVALLEY, BRISBANE	3	-0.6	29/01/2013 10:55:00 AM
175 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.9	-0.2	29/01/2013 11:00:00 AM
175 BLACKHEATH RD, CORINDA, BRISBANE	2.3	-4.8	29/01/2013 9:15:00 AM
175 BOUNDARY ST, TINGALPA, BRISBANE	2.1	-1.8	29/01/2013 11:00:00 AM
175 DUTTON RD, PINKENBA, BRISBANE	0.7	-1.9	29/01/2013 11:00:00 AM
175 EAGLE FARM RD, PINKENBA, BRISBANE	0.4	-1.8	29/01/2013 11:00:00 AM
175 EAGLE ST, BRISBANECITY, BRISBANE	1.7	-7.7	29/01/2013 10:55:00 AM
175 FISON AVE, EAGLEFARM, BRISBANE	0.5	-1.2	29/01/2013 11:00:00 AM
175 MERTHYR RD, NEWFARM, BRISBANE	0.5	-2.1	29/01/2013 11:00:00 AM
175 YOUNGS RD, HEMMANT, BRISBANE	1.4	-1.7	29/01/2013 11:00:00 AM
176 B GRINDLE RD, WACOL, BRISBANE	8.2	0.8	29/01/2013 5:40:00 AM
176 DONALDSON RD, ROCKLEA, BRISBANE	0.2	-2.8	29/01/2013 9:50:00 AM
176 GRINDLE RD, WACOL, BRISBANE	7.6	-59.1	29/01/2013 6:15:00 AM
176 HARGREAVES AVE, CHELMER, BRISBANE	3.2	-5.2	29/01/2013 9:40:00 AM
176 NORMAN AVE, NORMANPARK, BRISBANE	0.1	-2.1	29/01/2013 11:00:00 AM
176 SHELLEY RD, KHOLO, BRISBANE	10.6	-17.4	30/01/2013 1:50:00 AM
1761 LYTTON RD, LYTTON, BRISBANE	0.6	-1.6	29/01/2013 11:00:00 AM
1769 LYTTON RD, LYTTON, BRISBANE	1.4	-1.3	29/01/2013 11:00:00 AM
177 BLACKHEATH RD, CORINDA, BRISBANE	5.3	-6	29/01/2013 9:15:00 AM
177 EAGLE FARM RD, PINKENBA, BRISBANE	1.4	-0.7	29/01/2013 11:00:00 AM
177 HEMMANT-TINGALPA RD, HEMMANT, BRISBANE	0	-3.3	29/01/2013 11:00:00 AM
177 THOMAS ST, SHERWOOD, BRISBANE	3.8	-2.1	29/01/2013 9:50:00 AM
1779 LYTTON RD, LYTTON, BRISBANE	0.3	-2.2	29/01/2013 11:00:00 AM
178 HARGREAVES AVE, CHELMER, BRISBANE	2.7	-4.9	29/01/2013 9:40:00 AM
178 HAWKESBURY RD, MOGGILL, BRISBANE	10.7	-18.3	29/01/2013 5:05:00 AM
178 LEYBOURNE ST, CHELMER, BRISBANE	4.4	-4.6	29/01/2013 9:40:00 AM
178 MACQUARIE ST, STLUCIA, BRISBANE	1.3	-2.9	29/01/2013 10:25:00 AM
179 A WITTON RD, INDOOROOPILLY, BRISBANE	3.6	1	29/01/2013 9:35:00 AM
179 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.6	-0.3	29/01/2013 11:00:00 AM
179 GEM RD, KENMORE, BRISBANE	4.9	-13.4	29/01/2013 8:45:00 AM
179 LAUREL AVE, CHELMER, BRISBANE	3.8	-13.1	29/01/2013 9:30:00 AM
179 MAIN BEACH RD, PINKENBA, BRISBANE	0.1	-2.7	29/01/2013 11:00:00 AM
179 MT OMMANEY DR, JINDALEE, BRISBANE	5.4	-33.2	29/01/2013 8:10:00 AM
179 WESTLAKE DR, WESTLAKE, BRISBANE	0.6	-9.7	29/01/2013 7:50:00 AM
18  KILROE ST, MILTON, BRISBANE	0	0	29/01/2013 10:40:00 AM
18  KILROE ST, MILTON, BRISBANE	0.1	0	29/01/2013 10:40:00 AM
18  KILROE ST, MILTON, BRISBANE	0.2	0	29/01/2013 10:40:00 AM
18  MCDONALD ST, HAWTHORNE, BRISBANE	0	-0.6	29/01/2013 11:00:00 AM
18  MCDONALD ST, HAWTHORNE, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM
18  RIVERBEND PL, BULIMBA, BRISBANE	0	-2.4	29/01/2013 11:00:00 AM
18 A BIMBIL ST, ALBION, BRISBANE	2.1	-1.5	29/01/2013 11:00:00 AM
18 A DERBY ST, HIGHGATEHILL, BRISBANE	2.5	-24.6	29/01/2013 10:20:00 AM
18 A EGMONT ST, SHERWOOD, BRISBANE	3.5	-3.3	29/01/2013 9:50:00 AM
18 A SHOEBURY ST, ROCKLEA, BRISBANE	3.8	0.2	29/01/2013 9:50:00 AM
18 A TWIGG ST, INDOOROOPILLY, BRISBANE	2.8	-5.9	29/01/2013 9:35:00 AM
18 ALFORD ST, NEWFARM, BRISBANE	0	-0.8	29/01/2013 11:00:00 AM
18 ALLAWAH ST, YEERONGPILLY, BRISBANE	1.2	0.2	29/01/2013 9:50:00 AM
18 AUSTIN ST, NEWSTEAD, BRISBANE	0.2	-0.4	29/01/2013 11:00:00 AM
18 B HOWARD SMITH DR, PORTOFBRISBANE, BRISBANE	2.2	-2.2	29/01/2013 11:00:00 AM
18 B RENNIES RD, INDOOROOPILLY, BRISBANE	0.7	-0.7	29/01/2013 9:35:00 AM
18 BISHOP DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
18 BLAXLAND ST, MILTON, BRISBANE	0.2	-0.8	29/01/2013 10:40:00 AM
18 BOUNDARY ST, TINGALPA, BRISBANE	0.3	-0.6	29/01/2013 11:00:00 AM
18 BURNBY RD, HEMMANT, BRISBANE	0.3	-1.5	29/01/2013 11:00:00 AM
18 COLEMAN ST, GRACEVILLE, BRISBANE	0	-1.9	29/01/2013 9:40:00 AM
18 CROSBY RD, ALBION, BRISBANE	0.1	-0.4	29/01/2013 11:00:00 AM
18 CULLEN ST, WINDSOR, BRISBANE	0.2	0	29/01/2013 11:00:00 AM
18 DARNLEY ST, ROCKLEA, BRISBANE	0.8	-0.3	29/01/2013 9:50:00 AM
18 DERBY ST, HIGHGATEHILL, BRISBANE	2.5	-25.7	29/01/2013 10:20:00 AM
18 EGMONT ST, SHERWOOD, BRISBANE	4.3	-2.7	29/01/2013 9:50:00 AM
18 ESKER ST, PINKENBA, BRISBANE	0.3	-0.2	29/01/2013 11:00:00 AM
18 GARTH ST, HEMMANT, BRISBANE	0.6	-1.2	29/01/2013 11:00:00 AM
18 GILLAN ST, NORMANPARK, BRISBANE	0.4	-1.2	29/01/2013 11:00:00 AM
18 GOLF LINKS RD, ROCKLEA, BRISBANE	0.6	-1.8	29/01/2013 9:50:00 AM
18 HALDANE ST, GRACEVILLE, BRISBANE	0.4	-1.7	29/01/2013 9:40:00 AM
18 HIRON ST, STLUCIA, BRISBANE	2.5	-4	29/01/2013 10:30:00 AM
18 HOWARD SMITH DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
18 HUNT ST, HAMILTON, BRISBANE	0.4	-0.7	29/01/2013 11:00:00 AM
18 HUTCHESON ST, ALBION, BRISBANE	0.8	-0.1	29/01/2013 11:00:00 AM
18 JELLICOE ST, COORPAROO, BRISBANE	0.1	-2	29/01/2013 11:00:00 AM
18 JERDANEFIELD RD, STLUCIA, BRISBANE	0.6	-11.5	29/01/2013 10:30:00 AM
18 KILROE ST, MILTON, BRISBANE	1.1	0	29/01/2013 10:40:00 AM
18 LOGAN AVE, OXLEY, BRISBANE	0.2	-1.9	29/01/2013 9:50:00 AM
18 LUCY ST, ALBION, BRISBANE	0.1	-1.8	29/01/2013 11:00:00 AM
18 MCBRIDE RD, PINKENBA, BRISBANE	0.1	-0.1	29/01/2013 11:00:00 AM
18 MEREWETHER ST, CORINDA, BRISBANE	3.1	-4.7	29/01/2013 9:50:00 AM
18 ORIENT AVE, PINKENBA, BRISBANE	0.4	-0.1	29/01/2013 11:00:00 AM
18 OXLADE DR, NEWFARM, BRISBANE	0.9	-5.7	29/01/2013 11:00:00 AM
18 PEDDER ST, ALBION, BRISBANE	0.5	-0.5	29/01/2013 11:00:00 AM
18 PETAL ST, HEMMANT, BRISBANE	1.5	-1.7	29/01/2013 11:00:00 AM
18 PRESTWICK ST, OXLEY, BRISBANE	0.5	-3.9	29/01/2013 9:50:00 AM
18 PULLENVALE RD, PULLENVALE, BRISBANE	0.7	-21.8	29/01/2013 8:15:00 AM
18 QUAY ST, BULIMBA, BRISBANE	0.3	-2.2	29/01/2013 11:00:00 AM
18 RAMSAY RD, HEMMANT, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM
18 RIVERBEND PL, BULIMBA, BRISBANE	0.4	-2.3	29/01/2013 11:00:00 AM
18 ROSEBERY TCE, CHELMER, BRISBANE	3.3	-9.5	29/01/2013 9:40:00 AM
18 ROSS ST, NEWSTEAD, BRISBANE	0.5	-0.3	29/01/2013 11:00:00 AM
18 SANDFORD ST, STLUCIA, BRISBANE	1.4	-3	29/01/2013 10:30:00 AM
18 SCOTT ST, HAWTHORNE, BRISBANE	0.8	-3.1	29/01/2013 11:00:00 AM
18 SERPENTINE RD, PINKENBA, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM
18 SHOEBURY ST, ROCKLEA, BRISBANE	3.4	-0.3	29/01/2013 9:50:00 AM
18 TWIGG ST, INDOOROOPILLY, BRISBANE	0.4	-3.7	29/01/2013 9:35:00 AM
18 VANE ST, TINGALPA, BRISBANE	0.4	-1.5	29/01/2013 11:00:00 AM
18 VINCENT ST, AUCHENFLOWER, BRISBANE	1.2	0.6	29/01/2013 10:40:00 AM
18 WALTER AVE, EASTBRISBANE, BRISBANE	0.3	-1.4	29/01/2013 11:00:00 AM
18 WENDELL ST, NORMANPARK, BRISBANE	0.8	-2.3	29/01/2013 11:00:00 AM
180 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0	-0.6	29/01/2013 11:00:00 AM
180 EAGLE FARM RD, PINKENBA, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM
180 FAIRFIELD RD, FAIRFIELD, BRISBANE	0.6	-9.5	29/01/2013 10:15:00 AM
180 KIANAWAH RD, WYNNUMWEST, BRISBANE	0.6	-1.7	29/01/2013 11:00:00 AM
180 LEYBOURNE ST, CHELMER, BRISBANE	4.4	-4.3	29/01/2013 9:40:00 AM
180 MACQUARIE ST, STLUCIA, BRISBANE	1.1	-3.2	29/01/2013 10:25:00 AM
180 MAIN BEACH RD, PINKENBA, BRISBANE	0	-8.4	29/01/2013 11:00:00 AM
180 YOUNGS RD, HEMMANT, BRISBANE	0.3	-0.8	29/01/2013 11:00:00 AM
181 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.6	-0.3	29/01/2013 11:00:00 AM
181 MAIN BEACH RD, PINKENBA, BRISBANE	0.1	-2.2	29/01/2013 11:00:00 AM
181 WESTLAKE DR, WESTLAKE, BRISBANE	1.2	-9.4	29/01/2013 7:50:00 AM
182 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM
182 HARGREAVES AVE, CHELMER, BRISBANE	2.8	-4.6	29/01/2013 9:40:00 AM
182 LEYBOURNE ST, CHELMER, BRISBANE	3.5	-4.6	29/01/2013 9:40:00 AM
1825 CREEK RD, CANNONHILL, BRISBANE	1.8	-27.5	29/01/2013 11:00:00 AM
183 WESTLAKE DR, WESTLAKE, BRISBANE	1.4	-9.4	29/01/2013 7:50:00 AM
1833 CREEK RD, CANNONHILL, BRISBANE	1.7	-14.4	29/01/2013 11:00:00 AM
184 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM
184 FISON AVE, EAGLEFARM, BRISBANE	0	-3.3	29/01/2013 11:00:00 AM
184 LEYBOURNE ST, CHELMER, BRISBANE	3.3	-5.1	29/01/2013 9:40:00 AM
184 STANTON RD, TINGALPA, BRISBANE	1.9	-27.1	29/01/2013 11:00:00 AM
185 A ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.2	0.2	29/01/2013 11:00:00 AM
185 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.2	-0.3	29/01/2013 11:00:00 AM
185 LAUREL AVE, CHELMER, BRISBANE	3.6	-13	29/01/2013 9:30:00 AM
185 MAIN BEACH RD, PINKENBA, BRISBANE	1.1	-1.9	29/01/2013 11:00:00 AM
185 MILTON RD, MILTON, BRISBANE	0.6	-24.4	29/01/2013 10:40:00 AM
1858 B LYTTON RD, LYTTON, BRISBANE	2.1	-4.5	29/01/2013 11:00:00 AM
1858 LYTTON RD, LYTTON, BRISBANE	1.7	-8.3	29/01/2013 11:00:00 AM
186 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.3	-0.2	29/01/2013 11:00:00 AM
186 LEYBOURNE ST, CHELMER, BRISBANE	3.8	-5.5	29/01/2013 9:40:00 AM
186 LYTTON RD, EASTBRISBANE, BRISBANE	1.8	-6.8	29/01/2013 11:00:00 AM
186 WRIGHT ST, CARINDALE, BRISBANE	1.9	-5.8	29/01/2013 11:00:00 AM
187 HYDE RD, YERONGA, BRISBANE	0.8	-3.3	29/01/2013 10:10:00 AM
187 KIANAWAH RD, WYNNUMWEST, BRISBANE	0.5	-0.7	29/01/2013 11:00:00 AM
187 WESTLAKE DR, WESTLAKE, BRISBANE	0.2	-8	29/01/2013 7:50:00 AM
188 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM
188 BOUNDARY ST, TINGALPA, BRISBANE	1	-1.7	29/01/2013 11:00:00 AM
188 EAGLE FARM RD, PINKENBA, BRISBANE	0.3	-0.2	29/01/2013 11:00:00 AM
188 MACQUARIE ST, STLUCIA, BRISBANE	1.8	-3.3	29/01/2013 10:25:00 AM
188 MURARRIE RD, TINGALPA, BRISBANE	0.3	-1.7	29/01/2013 11:00:00 AM
188 PARINGA RD, MURARRIE, BRISBANE	0.2	-4.7	29/01/2013 11:00:00 AM
1885 IPSWICH RD, ROCKLEA, BRISBANE	1.2	-2.7	29/01/2013 9:50:00 AM
189 LAUREL AVE, CHELMER, BRISBANE	3.6	-12.9	29/01/2013 9:30:00 AM
189 MAIN BEACH RD, PINKENBA, BRISBANE	2.1	-2.9	29/01/2013 11:00:00 AM
189 WESTLAKE DR, WESTLAKE, BRISBANE	0.3	-7.3	29/01/2013 7:50:00 AM
1898 WYNNUM RD, WYNNUMWEST, BRISBANE	0.4	-6.2	29/01/2013 11:00:00 AM
19  MASTERS ST, NEWSTEAD, BRISBANE	0.3	-0.6	29/01/2013 11:00:00 AM
19 A ADDISON ST, WINDSOR, BRISBANE	0.6	-0.3	29/01/2013 11:00:00 AM
19 A GILLAN ST, NORMANPARK, BRISBANE	0.3	-1.1	29/01/2013 11:00:00 AM
19 A MORAY ST, NEWFARM, BRISBANE	2.9	-1.9	29/01/2013 11:00:00 AM
19 A TEMPLE ST, COORPAROO, BRISBANE	0.5	-0.8	29/01/2013 11:00:00 AM
19 ALLAMANDA ST, FAIRFIELD, BRISBANE	0	-0.7	29/01/2013 10:15:00 AM
19 ARINGA CRES, KARANADOWNS, BRISBANE	11.3	-17.1	29/01/2013 6:00:00 PM
19 ATKINSON DR, KARANADOWNS, BRISBANE	11.9	-12.5	29/01/2013 9:35:00 PM
19 AVEBURY ST, WESTEND, BRISBANE	2	-5.6	29/01/2013 10:25:00 AM
19 B KILROE ST, MILTON, BRISBANE	3	-0.3	29/01/2013 10:40:00 AM
19 B PORT DR, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
19 BEVIS ST, BULIMBA, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM
19 BOUNDARY RD, INDOOROOPILLY, BRISBANE	0.5	-4.4	29/01/2013 9:35:00 AM
19 BROOKE ST, ROCKLEA, BRISBANE	1	0.6	29/01/2013 9:50:00 AM
19 BURKE ST, COORPAROO, BRISBANE	1.1	-2.7	29/01/2013 11:00:00 AM
19 CHURCHILL ST, WOOLLOONGABBA, BRISBANE	0.2	-2.6	29/01/2013 11:00:00 AM
19 COLLINGWOOD ST, ALBION, BRISBANE	0.2	-0.3	29/01/2013 11:00:00 AM
19 CORELLA ST, ROCKLEA, BRISBANE	0.2	-0.1	29/01/2013 9:50:00 AM
19 CULLEN ST, WINDSOR, BRISBANE	0.1	-0.3	29/01/2013 11:00:00 AM
19 CUNNINGHAM ST, NEWSTEAD, BRISBANE	0.1	-1.8	29/01/2013 11:00:00 AM
19 DENIVEN ST, CORINDA, BRISBANE	0.2	-1.1	29/01/2013 9:50:00 AM
19 DIXON ST, NEWFARM, BRISBANE	0	-2.4	29/01/2013 11:00:00 AM
19 DONALDSON ST, NORMANPARK, BRISBANE	2	0.3	29/01/2013 11:00:00 AM
19 DOUGHBOY PDE, HEMMANT, BRISBANE	0.3	-8.8	29/01/2013 11:00:00 AM
19 ELLIOT ST, ALBION, BRISBANE	0.6	-1.2	29/01/2013 11:00:00 AM
19 FEEZ ST, YERONGA, BRISBANE	2.3	-10.2	29/01/2013 9:55:00 AM
19 HALDANE ST, GRACEVILLE, BRISBANE	0.6	-1.1	29/01/2013 9:40:00 AM
19 HEMMANT-TINGALPA RD, HEMMANT, BRISBANE	0.2	-2.5	29/01/2013 11:00:00 AM
19 HOWARD SMITH DR, PORTOFBRISBANE, BRISBANE	0.7	-1.6	29/01/2013 11:00:00 AM
19 HUXHAM TCE, AUCHENFLOWER, BRISBANE	0.7	-4.3	29/01/2013 10:40:00 AM
19 IVY ST, INDOOROOPILLY, BRISBANE	2	-8.2	29/01/2013 9:40:00 AM
19 JOHNSTONE ST, SHERWOOD, BRISBANE	0.9	-2.1	29/01/2013 9:50:00 AM
19 KOORINGAL DR, JINDALEE, BRISBANE	0.6	-6.1	29/01/2013 8:45:00 AM
19 KURILPA ST, WESTEND, BRISBANE	0.4	-1.5	29/01/2013 10:35:00 AM
19 LAIDLAW PDE, EASTBRISBANE, BRISBANE	2.1	-9.7	29/01/2013 11:00:00 AM
19 LOGAN AVE, OXLEY, BRISBANE	0	-1.4	29/01/2013 9:50:00 AM
19 LONGMAN TCE, CHELMER, BRISBANE	4.5	-7.3	29/01/2013 9:35:00 AM
19 LOTUS ST, WOOLLOONGABBA, BRISBANE	0.5	-1	29/01/2013 11:00:00 AM
19 LUCY ST, ALBION, BRISBANE	0.2	-0.7	29/01/2013 11:00:00 AM
19 LUCY ST, GREENSLOPES, BRISBANE	0	-1.9	29/01/2013 11:00:00 AM
19 MARIGOLD ST, HEMMANT, BRISBANE	0.3	-0.1	29/01/2013 11:00:00 AM
19 MASTERS ST, NEWSTEAD, BRISBANE	0.3	-0.7	29/01/2013 11:00:00 AM
19 MCBRIDE RD, PINKENBA, BRISBANE	0.3	-0.4	29/01/2013 11:00:00 AM
19 MORLEY ST, CHELMER, BRISBANE	3.9	-4.8	29/01/2013 9:30:00 AM
19 MYALL ST, NORMANPARK, BRISBANE	1.6	-0.8	29/01/2013 11:00:00 AM
19 NARIEL ST, ALBION, BRISBANE	0.5	0	29/01/2013 11:00:00 AM
19 NEILL ST, PINKENBA, BRISBANE	0.4	-0.2	29/01/2013 11:00:00 AM
19 NEULANS RD, INDOOROOPILLY, BRISBANE	2.7	-26.9	29/01/2013 9:40:00 AM
19 ORIENT AVE, PINKENBA, BRISBANE	0.4	-1.3	29/01/2013 11:00:00 AM
19 ORMADALE RD, YERONGA, BRISBANE	3	-7.6	29/01/2013 10:05:00 AM
19 OSPREY DR, PORTOFBRISBANE, BRISBANE	2.1	-5.6	29/01/2013 11:00:00 AM
19 PAMELA ST, WYNNUMWEST, BRISBANE	0.3	-2	29/01/2013 11:00:00 AM
19 PARK AVE, EASTBRISBANE, BRISBANE	1.9	-10.2	29/01/2013 11:00:00 AM
19 PARK AVE, EASTBRISBANE, BRISBANE	1.9	-10.7	29/01/2013 11:00:00 AM
19 PEDDER ST, ALBION, BRISBANE	0.5	-0.9	29/01/2013 11:00:00 AM
19 PEPLOW ST, HEMMANT, BRISBANE	0.5	-2	29/01/2013 11:00:00 AM
19 PRESTWICK ST, OXLEY, BRISBANE	0.4	-3.9	29/01/2013 9:50:00 AM
19 RAMSAY RD, HEMMANT, BRISBANE	0.1	-0.2	29/01/2013 11:00:00 AM
19 ROBERTSON PL, FIGTREEPOCKET, BRISBANE	0.1	-13	29/01/2013 9:00:00 AM
19 ROCK ST, STLUCIA, BRISBANE	0.1	-5.5	29/01/2013 10:25:00 AM
19 STIMPSON ST, FAIRFIELD, BRISBANE	0.2	-0.8	29/01/2013 10:15:00 AM
19 SUGARMILL RD, PINKENBA, BRISBANE	0.3	-2.6	29/01/2013 11:00:00 AM
19 SUTTON ST, CHELMER, BRISBANE	3.6	-3.3	29/01/2013 9:30:00 AM
19 TEESDALE ST, CORINDA, BRISBANE	4.3	-6.8	29/01/2013 9:15:00 AM
19 TEMPLE ST, COORPAROO, BRISBANE	0.3	-1.5	29/01/2013 11:00:00 AM
19 THALIA CT, CORINDA, BRISBANE	2	-6.4	29/01/2013 9:50:00 AM
19 TORWOOD ST, AUCHENFLOWER, BRISBANE	1.5	1.2	29/01/2013 10:40:00 AM
19 VIDGEN LANE, KENMORE, BRISBANE	5.3	-30.7	29/01/2013 8:45:00 AM
19 VIOLET ST, HEMMANT, BRISBANE	0	-0.2	29/01/2013 11:00:00 AM
19 VIVIAN ST, TENNYSON, BRISBANE	1.9	-5.1	29/01/2013 9:50:00 AM
19 WALTER ST, BULIMBA, BRISBANE	0.2	-0.2	29/01/2013 11:00:00 AM
19 WARREN ST, STLUCIA, BRISBANE	0.1	-2.9	29/01/2013 10:25:00 AM
19 WELSBY ST, NEWFARM, BRISBANE	0.3	-1.4	29/01/2013 11:00:00 AM
19 WENDOUREE CRES, WESTLAKE, BRISBANE	5.1	-6.9	29/01/2013 7:40:00 AM
19 WHIMBREL ST, PORTOFBRISBANE, BRISBANE	2.1	-23.1	29/01/2013 11:00:00 AM
19 YOUNGS RD, HEMMANT, BRISBANE	0.7	-1.7	29/01/2013 11:00:00 AM
190 KIANAWAH RD, WYNNUMWEST, BRISBANE	0.5	-1.7	29/01/2013 11:00:00 AM
190 KING ARTHUR TCE, TENNYSON, BRISBANE	0.8	-9.4	29/01/2013 9:50:00 AM
190 MACQUARIE ST, STLUCIA, BRISBANE	1.6	-2.2	29/01/2013 10:25:00 AM
190 MARSHALL RD, ROCKLEA, BRISBANE	3.4	-9	29/01/2013 9:50:00 AM
191 C DEWAR TCE, CORINDA, BRISBANE	4.3	-41.1	29/01/2013 9:20:00 AM
191 KENMORE RD, KENMORE, BRISBANE	5.4	-41.7	29/01/2013 8:45:00 AM
191 KING ARTHUR TCE, TENNYSON, BRISBANE	3.1	-5	29/01/2013 9:50:00 AM
191 SIR FRED SCHONELL DR, STLUCIA, BRISBANE	0.5	-1.3	29/01/2013 10:25:00 AM
191 WESTLAKE DR, WESTLAKE, BRISBANE	0.6	-6.7	29/01/2013 7:50:00 AM
192 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.3	-0.3	29/01/2013 11:00:00 AM
192 EAGLE FARM RD, PINKENBA, BRISBANE	0.2	-0.1	29/01/2013 11:00:00 AM
192 MAIN BEACH RD, PINKENBA, BRISBANE	0.4	-2	29/01/2013 11:00:00 AM
193 HYDE RD, YERONGA, BRISBANE	1.9	-8.9	29/01/2013 10:10:00 AM
193 MARY ST, BRISBANECITY, BRISBANE	0.6	-2.5	29/01/2013 10:55:00 AM
193 WESTLAKE DR, WESTLAKE, BRISBANE	5.6	-5.1	29/01/2013 7:50:00 AM
1934 A LYTTON RD, LYTTON, BRISBANE	2.2	-1.4	29/01/2013 11:00:00 AM
1934 LYTTON RD, LYTTON, BRISBANE	2.1	-6.7	29/01/2013 11:00:00 AM
1934 LYTTON RD, LYTTON, BRISBANE	2.1	-8.3	29/01/2013 11:00:00 AM
194 BREAKFAST CREEK RD, NEWSTEAD, BRISBANE	2	-2.2	29/01/2013 11:00:00 AM
194 DUNN RD, ROCKLEA, BRISBANE	4.1	-1.9	29/01/2013 9:50:00 AM
194 EAGLE FARM RD, PINKENBA, BRISBANE	0.2	-0.5	29/01/2013 11:00:00 AM
194 PARINGA RD, MURARRIE, BRISBANE	0.2	-3.3	29/01/2013 11:00:00 AM
195 A MAIN BEACH RD, PINKENBA, BRISBANE	2.1	1.3	29/01/2013 11:00:00 AM
195 KENMORE RD, KENMORE, BRISBANE	5.3	-41.8	29/01/2013 8:45:00 AM
195 LAUREL AVE, CHELMER, BRISBANE	3.4	-12.6	29/01/2013 9:30:00 AM
195 PRIORS POCKET RD, MOGGILL, BRISBANE	2.5	-25.6	29/01/2013 4:25:00 AM
196 ABBOTSFORD RD, BOWENHILLS, BRISBANE	0.1	-0.3	29/01/2013 11:00:00 AM
196 LEYBOURNE ST, CHELMER, BRISBANE	4.5	-5	29/01/2013 9:40:00 AM
197 A MURARRIE RD, MURARRIE, BRISBANE	0.6	-2.7	29/01/2013 11:00:00 AM
197 MARY ST, BRISBANECITY, BRISBANE	0.6	-3.3	29/01/2013 10:55:00 AM
197 WOLSTON RD, SUMNER, BRISBANE	5.7	-10.9	29/01/2013 6:15:00 AM
